Country_A,Port_A,Country_B,Port_B,Distance,Route,Time,Price_Per_Container,Price_Per_kg
Mexico,Manzanillo,Romania,Constantza,8085,PANAMA CANAL,33 days 17 hours,3810.2049751920003,0.12700683250640002
Mexico,Manzanillo,New Zealand,Auckland,5724,DIRECT,23 days 20 hours,2697.5402941248003,0.08991800980416001
Mexico,Manzanillo,Greece,Piraeus,7570,PANAMA CANAL,31 days 13 hours,3567.501751664,0.11891672505546667
Mexico,Manzanillo,Peru,Callao,2475,DIRECT,10 days 08 hours,1166.38927812,0.038879642604
Mexico,Manzanillo,Vietnam,Saigon,8306,DIRECT,34 days 15 hours,3914.3552905312004,0.13047850968437336
Indonesia,Tanjung Priok,Netherlands,Rotterdam,8550,SUEZ CANAL,35 days 15 hours,4029.34477896,0.134311492632
Indonesia,Tanjung Priok,Saudi Arabia,Jeddah,4583,DIRECT,19 days 02 hours,2159.8230552016003,0.07199410184005334
Indonesia,Tanjung Priok,Turkey,Ambarli,6047,SUEZ CANAL,25 days 05 hours,2849.7599857744003,0.09499199952581334
Indonesia,Tanjung Priok,Argentina,Buenos Aires,8843,CAPE OF GOOD HOPE,36 days 20 hours,4167.4264187536,0.13891421395845333
Indonesia,Tanjung Priok,Sweden,Gothenburg,8994,SUEZ CANAL,37 days 11 hours,4238.5879464288,0.14128626488096
Indonesia,Tanjung Priok,Poland,Gdansk,9367,SUEZ CANAL,39 days 01 hours,4414.3710578384,0.14714570192794665
Indonesia,Tanjung Priok,Belgium,Antwerp,8555,SUEZ CANAL,35 days 16 hours,4031.7011209360003,0.13439003736453334
Indonesia,Tanjung Priok,Thailand,Laem Chabang,1244,DIRECT,5 days 04 hours,586.2578836288001,0.019541929454293335
Indonesia,Tanjung Priok,Iran,Bandar Abbas,3656,DIRECT,15 days 06 hours,1722.9572528512,0.057431908428373334
Indonesia,Tanjung Priok,Norway,Oslo,9055,SUEZ CANAL,37 days 18 hours,4267.335318536,0.14224451061786667
Indonesia,Tanjung Priok,United Arab Emirates,Dubai,3705,DIRECT,15 days 11 hours,1746.049404216,0.058201646807200004
Indonesia,Tanjung Priok,Nigeria,Lagos,7739,CAPE OF GOOD HOPE,32 days 06 hours,3647.1461104528003,0.12157153701509334
Indonesia,Tanjung Priok,Israel,Haifa,5445,SUEZ CANAL,22 days 17 hours,2566.056411864,0.0855352137288
Indonesia,Tanjung Priok,South Africa,Durban,4500,DIRECT,18 days 18 hours,2120.7077784000003,0.07069025928000001
Indonesia,Tanjung Priok,Hong Kong,Hong Kong,1789,DIRECT,7 days 11 hours,843.0991590128,0.028103305300426665
Indonesia,Tanjung Priok,Ireland,Dublin,8385,SUEZ CANAL,34 days 23 hours,3951.5854937520003,0.13171951645840002
Indonesia,Tanjung Priok,Singapore,Singapore,527,DIRECT,2 days 05 hours,248.3584442704,0.008278614809013334
Indonesia,Tanjung Priok,Malaysia,Johor,554,DIRECT,2 days 07 hours,261.08269094080003,0.008702756364693335
Indonesia,Tanjung Priok,Philippines,Manila,1562,DIRECT,6 days 12 hours,736.1212333024,0.024537374443413335
Indonesia,Tanjung Priok,Colombia,Cartagena,10883,PANAMA CANAL,45 days 08 hours,5128.8139449616,0.17096046483205335
Indonesia,Tanjung Priok,Finland,Helsinki,9651,SUEZ CANAL,40 days 05 hours,4548.2112820752,0.15160704273584
Indonesia,Tanjung Priok,Egypt,Alexandria,5432,SUEZ CANAL,22 days 15 hours,2559.9299227264,0.08533099742421334
Indonesia,Tanjung Priok,Portugal,Lisbon,7488,SUEZ CANAL,31 days 05 hours,3528.8577432576003,0.11762859144192
Indonesia,Tanjung Priok,Romania,Constantza,6258,SUEZ CANAL,26 days 02 hours,2949.1976171616,0.09830658723872
Indonesia,Tanjung Priok,New Zealand,Auckland,4703,DIRECT,19 days 14 hours,2216.3752626256,0.07387917542085333
Indonesia,Tanjung Priok,Greece,Piraeus,5869,SUEZ CANAL,24 days 11 hours,2765.8742114288,0.09219580704762667
Indonesia,Tanjung Priok,Peru,Callao,10207,DIRECT,42 days 13 hours,4810.2365098064,0.16034121699354667
Indonesia,Tanjung Priok,Vietnam,Saigon,1032,DIRECT,4 days 07 hours,486.3489838464,0.016211632794880002
Netherlands,Rotterdam,Saudi Arabia,Jeddah,3997,SUEZ CANAL,16 days 16 hours,1883.6597756144001,0.06278865918714667
Netherlands,Rotterdam,Turkey,Ambarli,3146,STRAIT OF GIBRALTAR,13 days 03 hours,1482.6103712992,0.049420345709973335
Netherlands,Rotterdam,Argentina,Buenos Aires,6341,DIRECT,26 days 10 hours,2988.3128939632,0.09961042979877334
Netherlands,Rotterdam,Sweden,Gothenburg,501,DIRECT,2 days 02 hours,236.1054659952,0.00787018219984
Netherlands,Rotterdam,Poland,Gdansk,874,DIRECT,3 days 15 hours,411.8885774048,0.013729619246826667
Netherlands,Rotterdam,Belgium,Antwerp,149,DIRECT,15 hours,70.21899088480001,0.0023406330294933335
Netherlands,Rotterdam,Thailand,Laem Chabang,9072,SUEZ CANAL,37 days 19 hours,4275.346881254401,0.14251156270848003
Netherlands,Rotterdam,Iran,Bandar Abbas,6116,SUEZ CANAL,25 days 12 hours,2882.2775050432,0.09607591683477333
Netherlands,Rotterdam,Norway,Oslo,555,DIRECT,2 days 08 hours,261.553959336,0.0087184653112
Netherlands,Rotterdam,United Arab Emirates,Dubai,6165,SUEZ CANAL,25 days 17 hours,2905.369656408,0.0968456552136
Netherlands,Rotterdam,Nigeria,Lagos,4171,DIRECT,17 days 09 hours,1965.6604763792002,0.06552201587930667
Netherlands,Rotterdam,Israel,Haifa,3361,STRAIT OF GIBRALTAR,14 days 00 hours,1583.9330762672,0.052797769208906664
Netherlands,Rotterdam,South Africa,Durban,6944,CAPE OF GOOD HOPE,28 days 22 hours,3272.4877362688003,0.10908292454229335
Netherlands,Rotterdam,Hong Kong,Hong Kong,9748,SUEZ CANAL,40 days 15 hours,4593.924316409601,0.15313081054698668
Netherlands,Rotterdam,Ireland,Dublin,628,DIRECT,2 days 15 hours,295.9565521856,0.009865218406186666
Netherlands,Rotterdam,Singapore,Singapore,8288,SUEZ CANAL,34 days 13 hours,3905.8724594176,0.13019574864725333
Netherlands,Rotterdam,Malaysia,Johor,8313,SUEZ CANAL,34 days 15 hours,3917.6541692976,0.13058847230992002
Netherlands,Rotterdam,Philippines,Manila,9629,SUEZ CANAL,40 days 03 hours,4537.8433773808,0.15126144591269333
Netherlands,Rotterdam,Colombia,Cartagena,4586,DIRECT,19 days 03 hours,2161.2368603872,0.07204122867957334
Netherlands,Rotterdam,Finland,Helsinki,1158,DIRECT,4 days 20 hours,545.7288016416001,0.018190960054720002
Netherlands,Rotterdam,Egypt,Alexandria,3159,STRAIT OF GIBRALTAR,13 days 04 hours,1488.7368604368,0.04962456201456
Netherlands,Rotterdam,Portugal,Lisbon,1086,DIRECT,4 days 13 hours,511.7974771872,0.01705991590624
Netherlands,Rotterdam,Romania,Constantza,3357,STRAIT OF GIBRALTAR,14 days 00 hours,1582.0480026864,0.05273493342288
Netherlands,Rotterdam,New Zealand,Auckland,11355,PANAMA CANAL,47 days 08 hours,5351.252627496,0.1783750875832
Netherlands,Rotterdam,Greece,Piraeus,2842,STRAIT OF GIBRALTAR,11 days 20 hours,1339.3447791584001,0.04464482597194667
Netherlands,Rotterdam,Peru,Callao,6180,PANAMA CANAL,25 days 18 hours,2912.438682336,0.0970812894112
Netherlands,Rotterdam,Vietnam,Saigon,8934,SUEZ CANAL,37 days 05 hours,4210.3118427168,0.14034372809056
Saudi Arabia,Jeddah,Turkey,Ambarli,1494,SUEZ CANAL,6 days 05 hours,704.0749824288,0.02346916608096
Saudi Arabia,Jeddah,Argentina,Buenos Aires,7925,SUEZ CANAL,33 days 01 hours,3734.80203196,0.12449340106533334
Saudi Arabia,Jeddah,Sweden,Gothenburg,4441,SUEZ CANAL,18 days 12 hours,2092.9029430832,0.06976343143610668
Saudi Arabia,Jeddah,Poland,Gdansk,4814,SUEZ CANAL,20 days 01 hours,2268.6860544928,0.07562286848309333
Saudi Arabia,Jeddah,Belgium,Antwerp,4002,SUEZ CANAL,16 days 16 hours,1886.0161175904002,0.06286720391968001
Saudi Arabia,Jeddah,Thailand,Laem Chabang,5105,DIRECT,21 days 07 hours,2405.825157496,0.08019417191653333
Saudi Arabia,Jeddah,Iran,Bandar Abbas,2149,DIRECT,8 days 23 hours,1012.7557812848,0.03375852604282667
Saudi Arabia,Jeddah,Norway,Oslo,4502,SUEZ CANAL,18 days 18 hours,2121.6503151904003,0.07072167717301335
Saudi Arabia,Jeddah,United Arab Emirates,Dubai,2198,DIRECT,9 days 04 hours,1035.8479326496001,0.03452826442165334
Saudi Arabia,Jeddah,Nigeria,Lagos,5730,SUEZ CANAL,23 days 21 hours,2700.367904496,0.0900122634832
Saudi Arabia,Jeddah,Israel,Haifa,892,SUEZ CANAL,3 days 17 hours,420.3714085184,0.014012380283946668
Saudi Arabia,Jeddah,South Africa,Durban,3863,DIRECT,16 days 02 hours,1820.5098106576002,0.06068366035525334
Saudi Arabia,Jeddah,Hong Kong,Hong Kong,5781,DIRECT,24 days 02 hours,2724.4025926512,0.09081341975504
Saudi Arabia,Jeddah,Ireland,Dublin,3832,SUEZ CANAL,15 days 23 hours,1805.9004904064002,0.06019668301354667
Saudi Arabia,Jeddah,Singapore,Singapore,4321,DIRECT,18 days 00 hours,2036.3507356592002,0.06787835785530667
Saudi Arabia,Jeddah,Malaysia,Johor,4346,DIRECT,18 days 03 hours,2048.1324455392,0.06827108151797333
Saudi Arabia,Jeddah,Philippines,Manila,5662,DIRECT,23 days 14 hours,2668.3216536224,0.08894405512074667
Saudi Arabia,Jeddah,Colombia,Cartagena,6735,SUEZ CANAL,28 days 02 hours,3173.992641672,0.1057997547224
Saudi Arabia,Jeddah,Finland,Helsinki,5098,SUEZ CANAL,21 days 06 hours,2402.5262787296,0.08008420929098667
Saudi Arabia,Jeddah,Egypt,Alexandria,879,SUEZ CANAL,3 days 16 hours,414.2449193808,0.013808163979360001
Saudi Arabia,Jeddah,Portugal,Lisbon,2935,SUEZ CANAL,12 days 06 hours,1383.172739912,0.04610575799706667
Saudi Arabia,Jeddah,Romania,Constantza,1705,SUEZ CANAL,7 days 03 hours,803.512613816,0.026783753793866667
Saudi Arabia,Jeddah,New Zealand,Auckland,8665,DIRECT,36 days 03 hours,4083.5406444080004,0.1361180214802667
Saudi Arabia,Jeddah,Greece,Piraeus,1316,SUEZ CANAL,5 days 12 hours,620.1892080832,0.020672973602773335
Saudi Arabia,Jeddah,Peru,Callao,13964,DIRECT,58 days 04 hours,6580.791870572801,0.21935972901909337
Saudi Arabia,Jeddah,Vietnam,Saigon,4967,DIRECT,20 days 17 hours,2340.7901189584,0.07802633729861333
Turkey,Ambarli,Argentina,Buenos Aires,7074,STRAIT OF GIBRALTAR,29 days 11 hours,3333.7526276448,0.11112508758816
Turkey,Ambarli,Sweden,Gothenburg,3590,STRAIT OF GIBRALTAR,14 days 23 hours,1691.8535387680001,0.05639511795893334
Turkey,Ambarli,Poland,Gdansk,3963,STRAIT OF GIBRALTAR,16 days 12 hours,1867.6366501776001,0.062254555005920004
Turkey,Ambarli,Belgium,Antwerp,3151,STRAIT OF GIBRALTAR,13 days 03 hours,1484.9667132752002,0.049498890442506674
Turkey,Ambarli,Thailand,Laem Chabang,6569,SUEZ CANAL,27 days 09 hours,3095.7620880688,0.10319206960229334
Turkey,Ambarli,Iran,Bandar Abbas,3613,SUEZ CANAL,15 days 01 hours,1702.6927118576,0.056756423728586664
Turkey,Ambarli,Norway,Oslo,3651,STRAIT OF GIBRALTAR,15 days 05 hours,1720.6009108752,0.05735336369584
Turkey,Ambarli,United Arab Emirates,Dubai,3662,SUEZ CANAL,15 days 06 hours,1725.7848632224002,0.05752616210741334
Turkey,Ambarli,Nigeria,Lagos,4879,STRAIT OF GIBRALTAR,20 days 08 hours,2299.3185001808,0.07664395000602667
Turkey,Ambarli,Israel,Haifa,801,DIRECT,3 days 08 hours,377.4859845552,0.01258286615184
Turkey,Ambarli,South Africa,Durban,5327,SUEZ CANAL,22 days 05 hours,2510.4467412304,0.08368155804101333
Turkey,Ambarli,Hong Kong,Hong Kong,7245,SUEZ CANAL,30 days 05 hours,3414.339523224,0.1138113174408
Turkey,Ambarli,Ireland,Dublin,2981,STRAIT OF GIBRALTAR,12 days 10 hours,1404.8510860912002,0.046828369536373336
Turkey,Ambarli,Singapore,Singapore,5785,SUEZ CANAL,24 days 03 hours,2726.287666232,0.09087625554106667
Turkey,Ambarli,Malaysia,Johor,5810,SUEZ CANAL,24 days 05 hours,2738.069376112,0.09126897920373334
Turkey,Ambarli,Philippines,Manila,7126,SUEZ CANAL,29 days 17 hours,3358.2585841952,0.11194195280650666
Turkey,Ambarli,Colombia,Cartagena,5884,STRAIT OF GIBRALTAR,24 days 12 hours,2772.9432373568,0.09243144124522668
Turkey,Ambarli,Finland,Helsinki,4247,STRAIT OF GIBRALTAR,17 days 17 hours,2001.4768744144,0.06671589581381333
Turkey,Ambarli,Egypt,Alexandria,707,DIRECT,2 days 23 hours,333.18675540640004,0.011106225180213335
Turkey,Ambarli,Portugal,Lisbon,2084,STRAIT OF GIBRALTAR,8 days 16 hours,982.1233355968001,0.032737444519893334
Turkey,Ambarli,Romania,Constantza,211,DIRECT,21 hours,99.4376313872,0.0033145877129066668
Turkey,Ambarli,New Zealand,Auckland,10129,SUEZ CANAL,42 days 05 hours,4773.4775749808005,0.1591159191660267
Turkey,Ambarli,Greece,Piraeus,337,DIRECT,1 day 10 hours,158.8174491824,0.0052939149727466665
Turkey,Ambarli,Peru,Callao,7489,PANAMA CANAL,31 days 05 hours,3529.3290116528,0.11764430038842667
Turkey,Ambarli,Vietnam,Saigon,6431,SUEZ CANAL,26 days 19 hours,3030.7270495312,0.10102423498437334
Argentina,Buenos Aires,Sweden,Gothenburg,6785,DIRECT,28 days 07 hours,3197.556061432,0.10658520204773334
Argentina,Buenos Aires,Poland,Gdansk,7158,DIRECT,29 days 20 hours,3373.3391728416,0.11244463909472
Argentina,Buenos Aires,Belgium,Antwerp,6346,DIRECT,26 days 11 hours,2990.6692359392,0.09968897453130666
Argentina,Buenos Aires,Thailand,Laem Chabang,10031,CAPE OF GOOD HOPE,41 days 19 hours,4727.2932722512005,0.15757644240837335
Argentina,Buenos Aires,Iran,Bandar Abbas,8364,CAPE OF GOOD HOPE,34 days 20 hours,3941.6888574528,0.13138962858176
Argentina,Buenos Aires,Norway,Oslo,6846,DIRECT,28 days 13 hours,3226.3034335392003,0.10754344778464
Argentina,Buenos Aires,United Arab Emirates,Dubai,8413,CAPE OF GOOD HOPE,35 days 01 hours,3964.7810088176,0.13215936696058667
Argentina,Buenos Aires,Nigeria,Lagos,4304,DIRECT,17 days 22 hours,2028.3391729408002,0.06761130576469333
Argentina,Buenos Aires,Israel,Haifa,7289,STRAIT OF GIBRALTAR,30 days 09 hours,3435.0753326128,0.11450251108709333
Argentina,Buenos Aires,South Africa,Durban,4459,CAPE OF GOOD HOPE,18 days 14 hours,2101.3857741968,0.07004619247322666
Argentina,Buenos Aires,Hong Kong,Hong Kong,10576,CAPE OF GOOD HOPE,44 days 02 hours,4984.1345476352,0.16613781825450666
Argentina,Buenos Aires,Ireland,Dublin,6152,DIRECT,25 days 15 hours,2899.2431672704,0.09664143890901333
Argentina,Buenos Aires,Singapore,Singapore,9270,CAPE OF GOOD HOPE,38 days 15 hours,4368.658023504,0.1456219341168
Argentina,Buenos Aires,Malaysia,Johor,9295,CAPE OF GOOD HOPE,38 days 18 hours,4380.439733384001,0.14601465777946668
Argentina,Buenos Aires,Philippines,Manila,10350,CAPE OF GOOD HOPE,43 days 03 hours,4877.62789032,0.162587596344
Argentina,Buenos Aires,Colombia,Cartagena,5111,DIRECT,21 days 07 hours,2408.6527678672,0.08028842559557334
Argentina,Buenos Aires,Finland,Helsinki,7442,DIRECT,31 days 00 hours,3507.1793970784,0.11690597990261334
Argentina,Buenos Aires,Egypt,Alexandria,7087,STRAIT OF GIBRALTAR,29 days 13 hours,3339.8791167824,0.11132930389274667
Argentina,Buenos Aires,Portugal,Lisbon,5323,DIRECT,22 days 04 hours,2508.5616676496,0.08361872225498668
Argentina,Buenos Aires,Romania,Constantza,7285,STRAIT OF GIBRALTAR,30 days 09 hours,3433.190259032,0.11443967530106668
Argentina,Buenos Aires,New Zealand,Auckland,6133,STRAIT OF MAGELLAN,25 days 13 hours,2890.2890677616,0.09634296892538667
Argentina,Buenos Aires,Greece,Piraeus,6770,STRAIT OF GIBRALTAR,28 days 05 hours,3190.4870355040002,0.10634956785013334
Argentina,Buenos Aires,Peru,Callao,4050,STRAIT OF MAGELLAN,16 days 21 hours,1908.6370005600002,0.06362123335200001
Argentina,Buenos Aires,Vietnam,Saigon,9820,CAPE OF GOOD HOPE,40 days 22 hours,4627.855640864001,0.1542618546954667
Sweden,Gothenburg,Poland,Gdansk,406,DIRECT,1 day 17 hours,191.3349684512,0.0063778322817066675
Sweden,Gothenburg,Belgium,Antwerp,597,DIRECT,2 days 12 hours,281.3472319344,0.00937824106448
Sweden,Gothenburg,Thailand,Laem Chabang,9516,SUEZ CANAL,39 days 16 hours,4484.5900487232,0.14948633495744001
Sweden,Gothenburg,Iran,Bandar Abbas,6560,SUEZ CANAL,27 days 08 hours,3091.520672512,0.10305068908373334
Sweden,Gothenburg,Norway,Oslo,163,DIRECT,16 hours,76.81674841760001,0.002560558280586667
Sweden,Gothenburg,United Arab Emirates,Dubai,6609,SUEZ CANAL,27 days 13 hours,3114.6128238768,0.10382042746256
Sweden,Gothenburg,Nigeria,Lagos,4615,DIRECT,19 days 06 hours,2174.9036438480002,0.07249678812826667
Sweden,Gothenburg,Israel,Haifa,3805,STRAIT OF GIBRALTAR,15 days 21 hours,1793.176243736,0.05977254145786667
Sweden,Gothenburg,South Africa,Durban,7388,CAPE OF GOOD HOPE,30 days 19 hours,3481.7309037376003,0.11605769679125334
Sweden,Gothenburg,Hong Kong,Hong Kong,10192,SUEZ CANAL,42 days 11 hours,4803.1674838784,0.16010558279594667
Sweden,Gothenburg,Ireland,Dublin,913,DIRECT,3 days 19 hours,430.2680448176,0.014342268160586667
Sweden,Gothenburg,Singapore,Singapore,8732,SUEZ CANAL,36 days 09 hours,4115.115626886401,0.13717052089621334
Sweden,Gothenburg,Malaysia,Johor,8757,SUEZ CANAL,36 days 12 hours,4126.8973367664,0.13756324455888
Sweden,Gothenburg,Philippines,Manila,10073,SUEZ CANAL,41 days 23 hours,4747.086544849601,0.15823621816165334
Sweden,Gothenburg,Colombia,Cartagena,4850,DIRECT,20 days 05 hours,2285.65171672,0.07618839055733333
Sweden,Gothenburg,Finland,Helsinki,687,DIRECT,2 days 21 hours,323.7613875024,0.01079204625008
Sweden,Gothenburg,Egypt,Alexandria,3603,STRAIT OF GIBRALTAR,15 days 00 hours,1697.9800279056,0.056599334263520006
Sweden,Gothenburg,Portugal,Lisbon,1530,DIRECT,6 days 09 hours,721.040644656,0.0240346881552
Sweden,Gothenburg,Romania,Constantza,3801,STRAIT OF GIBRALTAR,15 days 20 hours,1791.2911701552,0.05970970567184
Sweden,Gothenburg,New Zealand,Auckland,11591,PANAMA CANAL,48 days 07 hours,5462.4719687632005,0.18208239895877334
Sweden,Gothenburg,Greece,Piraeus,3286,STRAIT OF GIBRALTAR,13 days 17 hours,1548.5879466272002,0.05161959822090667
Sweden,Gothenburg,Peru,Callao,6416,PANAMA CANAL,26 days 18 hours,3023.6580236032,0.10078860078677333
Sweden,Gothenburg,Vietnam,Saigon,9378,SUEZ CANAL,39 days 02 hours,4419.555010185601,0.14731850033952001
Poland,Gdansk,Belgium,Antwerp,970,DIRECT,4 days 01 hours,457.13034334400004,0.015237678111466669
Belgium,Antwerp,Thailand,Laem Chabang,9077,SUEZ CANAL,37 days 20 hours,4277.7032232304,0.14259010744101333
Belgium,Antwerp,Iran,Bandar Abbas,6121,SUEZ CANAL,25 days 12 hours,2884.6338470192,0.09615446156730667
Belgium,Antwerp,Norway,Oslo,657,DIRECT,2 days 18 hours,309.6233356464,0.01032077785488
Belgium,Antwerp,United Arab Emirates,Dubai,6170,SUEZ CANAL,25 days 17 hours,2907.725998384,0.09692419994613333
Belgium,Antwerp,Nigeria,Lagos,4176,DIRECT,17 days 10 hours,1968.0168183552,0.06560056061184
Belgium,Antwerp,Israel,Haifa,3366,STRAIT OF GIBRALTAR,14 days 01 hours,1586.2894182432,0.052876313941440004
Belgium,Antwerp,South Africa,Durban,6949,CAPE OF GOOD HOPE,28 days 23 hours,3274.8440782448,0.10916146927482667
Belgium,Antwerp,Hong Kong,Hong Kong,9753,SUEZ CANAL,40 days 15 hours,4596.2806583856,0.15320935527952
Belgium,Antwerp,Ireland,Dublin,633,DIRECT,2 days 15 hours,298.3128941616,0.00994376313872
Belgium,Antwerp,Singapore,Singapore,8293,SUEZ CANAL,34 days 13 hours,3908.2288013936004,0.1302742933797867
Belgium,Antwerp,Malaysia,Johor,8318,SUEZ CANAL,34 days 16 hours,3920.0105112736,0.13066701704245334
Belgium,Antwerp,Philippines,Manila,9634,SUEZ CANAL,40 days 03 hours,4540.1997193568,0.15133999064522669
Belgium,Antwerp,Colombia,Cartagena,4591,DIRECT,19 days 03 hours,2163.5932023632,0.07211977341210667
Belgium,Antwerp,Finland,Helsinki,1254,DIRECT,5 days 05 hours,590.9705675808,0.01969901891936
Belgium,Antwerp,Egypt,Alexandria,3164,STRAIT OF GIBRALTAR,13 days 04 hours,1491.0932024128,0.049703106747093335
Belgium,Antwerp,Portugal,Lisbon,1091,DIRECT,4 days 13 hours,514.1538191632001,0.017138460638773334
Belgium,Antwerp,Romania,Constantza,3362,STRAIT OF GIBRALTAR,14 days 00 hours,1584.4043446624,0.05281347815541333
Belgium,Antwerp,New Zealand,Auckland,11360,PANAMA CANAL,47 days 08 hours,5353.608969472,0.17845363231573336
Belgium,Antwerp,Greece,Piraeus,2847,STRAIT OF GIBRALTAR,11 days 21 hours,1341.7011211344,0.04472337070448
Belgium,Antwerp,Peru,Callao,6185,PANAMA CANAL,25 days 19 hours,2914.7950243120004,0.09715983414373335
Belgium,Antwerp,Vietnam,Saigon,8939,SUEZ CANAL,37 days 06 hours,4212.6681846928,0.14042227282309336
Thailand,Laem Chabang,Iran,Bandar Abbas,4165,DIRECT,17 days 09 hours,1962.832866008,0.06542776220026666
Thailand,Laem Chabang,Norway,Oslo,9577,SUEZ CANAL,39 days 22 hours,4513.3374208304,0.15044458069434669
Thailand,Laem Chabang,United Arab Emirates,Dubai,4214,DIRECT,17 days 13 hours,1985.9250173728,0.06619750057909334
Thailand,Laem Chabang,Nigeria,Lagos,8927,CAPE OF GOOD HOPE,37 days 05 hours,4207.0129639504,0.14023376546501334
Thailand,Laem Chabang,Israel,Haifa,5967,SUEZ CANAL,24 days 21 hours,2812.0585141584,0.09373528380528001
Thailand,Laem Chabang,South Africa,Durban,5651,DIRECT,23 days 13 hours,2663.1377012752,0.08877125670917334
Thailand,Laem Chabang,Hong Kong,Hong Kong,1442,DIRECT,6 days 00 hours,679.5690258784,0.02265230086261333
Thailand,Laem Chabang,Ireland,Dublin,8907,SUEZ CANAL,37 days 03 hours,4197.5875960464,0.13991958653487999
Thailand,Laem Chabang,Singapore,Singapore,784,DIRECT,3 days 06 hours,369.4744218368,0.012315814061226666
Thailand,Laem Chabang,Malaysia,Johor,784,DIRECT,3 days 06 hours,369.4744218368,0.012315814061226666
Thailand,Laem Chabang,Philippines,Manila,1418,DIRECT,5 days 22 hours,668.2585843936,0.022275286146453334
Thailand,Laem Chabang,Colombia,Cartagena,10852,PANAMA CANAL,45 days 05 hours,5114.2046247104,0.17047348749034666
Thailand,Laem Chabang,Finland,Helsinki,10173,SUEZ CANAL,42 days 09 hours,4794.2133843696,0.15980711281232002
Thailand,Laem Chabang,Egypt,Alexandria,5954,SUEZ CANAL,24 days 19 hours,2805.9320250208,0.09353106750069334
Thailand,Laem Chabang,Portugal,Lisbon,8010,SUEZ CANAL,33 days 09 hours,3774.859845552,0.1258286615184
Thailand,Laem Chabang,Romania,Constantza,6780,SUEZ CANAL,28 days 06 hours,3195.1997194560004,0.10650665731520001
Thailand,Laem Chabang,New Zealand,Auckland,5692,DIRECT,23 days 17 hours,2682.4597054784003,0.08941532351594668
Thailand,Laem Chabang,Greece,Piraeus,6391,SUEZ CANAL,26 days 15 hours,3011.8763137232,0.10039587712410666
Thailand,Laem Chabang,Peru,Callao,11169,DIRECT,46 days 13 hours,5263.5967059888,0.17545322353296
Thailand,Laem Chabang,Vietnam,Saigon,634,DIRECT,2 days 15 hours,298.7841625568,0.009959472085226668
Iran,Bandar Abbas,Norway,Oslo,6621,SUEZ CANAL,27 days 14 hours,3120.2680446192003,0.10400893482064001
Iran,Bandar Abbas,United Arab Emirates,Dubai,131,DIRECT,13 hours,61.7361597712,0.0020578719923733334
Iran,Bandar Abbas,Nigeria,Lagos,7260,CAPE OF GOOD HOPE,30 days 06 hours,3421.408549152,0.1140469516384
Iran,Bandar Abbas,Israel,Haifa,3011,SUEZ CANAL,12 days 13 hours,1418.9891379472,0.04729963793157334
Iran,Bandar Abbas,South Africa,Durban,3915,DIRECT,16 days 08 hours,1845.0157672080002,0.06150052557360001
Iran,Bandar Abbas,Hong Kong,Hong Kong,4841,DIRECT,20 days 04 hours,2281.4103011632,0.07604701003877333
Iran,Bandar Abbas,Ireland,Dublin,5951,SUEZ CANAL,24 days 19 hours,2804.5182198352,0.09348394066117333
Iran,Bandar Abbas,Singapore,Singapore,3381,DIRECT,14 days 02 hours,1593.3584441712,0.05311194813904
Iran,Bandar Abbas,Malaysia,Johor,3406,DIRECT,14 days 05 hours,1605.1401540512002,0.05350467180170667
Iran,Bandar Abbas,Philippines,Manila,4722,DIRECT,19 days 16 hours,2225.3293621344,0.07417764540448
Iran,Bandar Abbas,Colombia,Cartagena,8854,SUEZ CANAL,36 days 21 hours,4172.6103711008,0.13908701237002666
Iran,Bandar Abbas,Finland,Helsinki,7217,SUEZ CANAL,30 days 02 hours,3401.1440081584,0.11337146693861333
Iran,Bandar Abbas,Egypt,Alexandria,2998,SUEZ CANAL,12 days 12 hours,1412.8626488096002,0.04709542162698667
Iran,Bandar Abbas,Portugal,Lisbon,5054,SUEZ CANAL,21 days 01 hours,2381.7904693408,0.07939301564469334
Iran,Bandar Abbas,Romania,Constantza,3824,SUEZ CANAL,15 days 22 hours,1802.1303432448,0.060071011441493335
Iran,Bandar Abbas,New Zealand,Auckland,8018,DIRECT,33 days 10 hours,3778.6299927136,0.12595433309045334
Iran,Bandar Abbas,Greece,Piraeus,3435,SUEZ CANAL,14 days 08 hours,1618.806937512,0.053960231250400004
Iran,Bandar Abbas,Peru,Callao,13317,DIRECT,55 days 12 hours,6275.8812188784,0.20919604062928002
Iran,Bandar Abbas,Vietnam,Saigon,4027,DIRECT,16 days 19 hours,1897.7978274704,0.06325992758234666
Norway,Oslo,United Arab Emirates,Dubai,6670,SUEZ CANAL,27 days 19 hours,3143.3601959840003,0.10477867319946668
Norway,Oslo,Nigeria,Lagos,4676,DIRECT,19 days 12 hours,2203.6510159552,0.07345503386517332
Norway,Oslo,Israel,Haifa,3866,STRAIT OF GIBRALTAR,16 days 03 hours,1821.9236158432002,0.06073078719477334
Norway,Oslo,South Africa,Durban,7449,CAPE OF GOOD HOPE,31 days 01 hours,3510.4782758448,0.11701594252816
Norway,Oslo,Hong Kong,Hong Kong,10253,SUEZ CANAL,42 days 17 hours,4831.9148559856,0.16106382853285334
Norway,Oslo,Ireland,Dublin,939,DIRECT,3 days 22 hours,442.5210230928,0.01475070076976
Norway,Oslo,Singapore,Singapore,8793,SUEZ CANAL,36 days 15 hours,4143.8629989936,0.13812876663312
