Country_A,Port_A,Country_B,Port_B,Distance,Route,Time,Price_Per_Container,Price_Per_kg
China,Shanghai,Italy,Genoa,8670,SUEZ CANAL,36 days 03 hours,4085.8969863840002,0.13619656621280002
China,Shanghai,Canada,Vancouver,5110,DIRECT,21 days 07 hours,2408.1814994720003,0.08027271664906667
China,Shanghai,Russia,Novorossiysk,8493,SUEZ CANAL,35 days 09 hours,4002.4824804336004,0.13341608268112
China,Shanghai,Australia,Melbourne,5193,DIRECT,21 days 15 hours,2447.2967762736002,0.08157655920912
China,Shanghai,Spain,Algeciras,9166,SUEZ CANAL,38 days 05 hours,4319.6461104032005,0.14398820368010667
China,Shanghai,Mexico,Manzanillo,6855,DIRECT,28 days 14 hours,3230.5448490960002,0.1076848283032
China,Shanghai,Indonesia,Tanjung Priok,2523,DIRECT,10 days 12 hours,1189.0101610896002,0.039633672036320004
China,Shanghai,Netherlands,Rotterdam,10525,SUEZ CANAL,43 days 21 hours,4960.09985948,0.16533666198266667
China,Shanghai,Saudi Arabia,Jeddah,6558,DIRECT,27 days 08 hours,3090.5781357216,0.10301927119072
China,Shanghai,Turkey,Ambarli,8022,SUEZ CANAL,33 days 10 hours,3780.5150662944,0.12601716887648
China,Shanghai,Argentina,Buenos Aires,11163,STRAIT OF MAGELLAN,46 days 12 hours,5260.7690956176,0.17535896985392
China,Shanghai,Sweden,Gothenburg,10969,SUEZ CANAL,45 days 17 hours,5169.3430269488,0.17231143423162668
China,Shanghai,Poland,Gdansk,11342,SUEZ CANAL,47 days 06 hours,5345.126138358401,0.17817087127861336
China,Shanghai,Belgium,Antwerp,10530,SUEZ CANAL,43 days 21 hours,4962.456201456001,0.16541520671520002
China,Shanghai,Thailand,Laem Chabang,2204,DIRECT,9 days 04 hours,1038.6755430208,0.034622518100693334
China,Shanghai,Iran,Bandar Abbas,5618,DIRECT,23 days 10 hours,2647.5858442336003,0.08825286147445334
China,Shanghai,Norway,Oslo,11030,SUEZ CANAL,45 days 23 hours,5198.090399056,0.17326967996853335
China,Shanghai,United Arab Emirates,Dubai,5667,DIRECT,23 days 15 hours,2670.6779955984002,0.08902259985328001
China,Shanghai,Nigeria,Lagos,10254,CAPE OF GOOD HOPE,42 days 17 hours,4832.3861243808005,0.16107953747936002
China,Shanghai,Israel,Haifa,7420,SUEZ CANAL,30 days 22 hours,3496.8114923840003,0.11656038307946667
China,Shanghai,South Africa,Durban,7015,DIRECT,29 days 06 hours,3305.947792328,0.11019825974426667
China,Shanghai,Hong Kong,Hong Kong,845,DIRECT,3 days 13 hours,398.221793944,0.013274059798133333
China,Shanghai,Ireland,Dublin,10360,SUEZ CANAL,43 days 04 hours,4882.340574272001,0.16274468580906667
China,Shanghai,Singapore,Singapore,2237,DIRECT,9 days 08 hours,1054.2274000624,0.03514091333541333
China,Shanghai,Malaysia,Johor,2241,DIRECT,9 days 08 hours,1056.1124736432,0.03520374912144
China,Shanghai,Philippines,Manila,1128,DIRECT,4 days 17 hours,531.5907497856,0.01771969165952
China,Shanghai,Colombia,Cartagena,8886,PANAMA CANAL,37 days 01 hours,4187.6909597472,0.13958969865824
China,Shanghai,Finland,Helsinki,11626,SUEZ CANAL,48 days 11 hours,5478.9663625952,0.18263221208650665
China,Shanghai,Egypt,Alexandria,7407,SUEZ CANAL,30 days 21 hours,3490.6850032464004,0.11635616677488002
China,Shanghai,Portugal,Lisbon,9463,SUEZ CANAL,39 days 10 hours,4459.6128237776,0.14865376079258666
China,Shanghai,Romania,Constantza,8233,SUEZ CANAL,34 days 07 hours,3879.9526976816,0.12933175658938667
China,Shanghai,New Zealand,Auckland,5142,DIRECT,21 days 10 hours,2423.2620881184002,0.08077540293728001
China,Shanghai,Greece,Piraeus,7844,SUEZ CANAL,32 days 16 hours,3696.6292919488,0.12322097639829334
China,Shanghai,Peru,Callao,9304,DIRECT,38 days 18 hours,4384.6811489408,0.14615603829802667
China,Shanghai,Vietnam,Saigon,1687,DIRECT,7 days 01 hours,795.0297827024,0.026500992756746666
Japan,Yokohama,Germany,Hamburg,11433,SUEZ CANAL,47 days 15 hours,5388.011562321601,0.17960038541072001
Japan,Yokohama,India,Bombay,5327,DIRECT,22 days 05 hours,2510.4467412304,0.08368155804101333
Japan,Yokohama,United Kingdom,Felixstowe,11111,SUEZ CANAL,46 days 07 hours,5236.2631390672,0.17454210463557335
Japan,Yokohama,France,Marseilles,9418,SUEZ CANAL,39 days 06 hours,4438.4057459936,0.14794685819978667
Japan,Yokohama,Brazil,Santos,11364,STRAIT OF MAGELLAN,47 days 08 hours,5355.4940430528,0.17851646810176
Japan,Yokohama,Italy,Genoa,9325,SUEZ CANAL,38 days 21 hours,4394.577785240001,0.1464859261746667
Japan,Yokohama,Canada,Vancouver,4260,DIRECT,17 days 18 hours,2007.603363552,0.0669201121184
Japan,Yokohama,Russia,Novorossiysk,9148,SUEZ CANAL,38 days 03 hours,4311.1632792896,0.14370544264298665
Japan,Yokohama,Australia,Melbourne,4907,DIRECT,20 days 11 hours,2312.5140152464,0.07708380050821334
Japan,Yokohama,Spain,Algeciras,9821,SUEZ CANAL,40 days 22 hours,4628.3269092592,0.15427756364197334
Japan,Yokohama,Mexico,Manzanillo,5965,DIRECT,24 days 21 hours,2811.115977368,0.09370386591226668
Japan,Yokohama,Indonesia,Tanjung Priok,3221,DIRECT,13 days 10 hours,1517.9555009392,0.050598516697973335
Japan,Yokohama,Netherlands,Rotterdam,11180,SUEZ CANAL,46 days 14 hours,5268.780658336001,0.17562602194453336
Japan,Yokohama,Saudi Arabia,Jeddah,7213,DIRECT,30 days 01 hours,3399.2589345776,0.11330863115258667
Japan,Yokohama,Turkey,Ambarli,8677,SUEZ CANAL,36 days 04 hours,4089.1958651504,0.13630652883834668
Japan,Yokohama,Argentina,Buenos Aires,10654,STRAIT OF MAGELLAN,44 days 09 hours,5020.8934824608,0.16736311608202667
Japan,Yokohama,Sweden,Gothenburg,11624,SUEZ CANAL,48 days 10 hours,5478.0238258048,0.18260079419349334
Japan,Yokohama,Poland,Gdansk,11997,SUEZ CANAL,50 days 00 hours,5653.8069372144,0.18846023124048
Japan,Yokohama,Belgium,Antwerp,11185,SUEZ CANAL,46 days 15 hours,5271.137000312,0.17570456667706666
